node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
EXO1	MSH2	983715	977012	ENSP00000311873	ENSP00000233146	0.000	0.000	0.000	0.000	0.000	0.995	0.000	0.000	0.994
ERCC4	PMS2L3	983532	982611	ENSP00000310520	ENSP00000302965	0.000	0.000	0.000	0.000	0.000	0.201	0.000	0.000	0.201
OGG1	FEN1	983033	982899	ENSP00000306561	ENSP00000305480	0.000	0.000	0.000	0.000	0.000	0.293	0.000	0.000	0.293
CSF2RB	PIK3CB	994280	981143	ENSP00000384053	ENSP00000289153	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
DDB1	MSH3	982456	979536	ENSP00000301764	ENSP00000265081	0.000	0.000	0.000	0.000	0.000	0.228	0.000	0.000	0.228
MLH3	PMS2	987993	979682	ENSP00000348020	ENSP00000265849	0.000	0.000	0.000	0.520	0.000	0.229	0.540	0.000	0.621
AKT3	NFKBIA	979261	976240	ENSP00000263826	ENSP00000216797	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
IRAK1	IL1B	990032	979165	ENSP00000358997	ENSP00000263341	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PPP3CA	CASP3	993449	983604	ENSP00000378323	ENSP00000311032	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
MLH3	MSH3	987993	979536	ENSP00000348020	ENSP00000265081	0.000	0.000	0.000	0.000	0.000	0.200	0.540	0.000	0.607
BCL2	BID	985632	984404	ENSP00000329623	ENSP00000318822	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
